#,Power Plant Type,COMPANY NAME,PROJECT NAME,Type ,City,Installed Capacity (MWm),Installed Capacity (MWe),Capacity Under Construction (Mwe),Service Capacity (Mwe),Longtitude,Latitude,Longtitude,Latitude,Coordinate Ref.
339,Hydropower Plant,SANKO ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Cevizlik HPP,Weir,RİZE,92.96,91.4,0,91.4,1546818.90567,4953458.43271,,,HES
340,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Köklüce HPP,Dam,TOKAT,90,90,0,90,1248112.6116,4896471.28028,1248711.44171,4896383.76718,DSİ-HES
341,Hydropower Plant,KLK ENERJİ ÜRETİM ANONİM ŞİRKETİ,Kürtün HPP,Dam,GÜMÜŞHANE,85,85,0,85,40.40 °N,39.07 °E,,,
342,Hydropower Plant,ÖZBEY HİJYENİK ÜRÜNLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Ermenek HPP,Dam,KARAMAN,1.26,1.12,1.12,0,36.34 °N,32.57 °E,,,
343,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Menge Barajı ve HPP,Dam,ADANA,86.8,85,0,85,37.42 °N,35.43 °E,,,
344,Hydropower Plant,MOSTAR ELEKTRİK ENERJİ ÜRETİM VE İLETİŞİM TOPTAN LİMİTED ŞİRKETİ,Koçköprü Barajı ve HPP,Dam,VAN,8.8,8.392,8.392,0,39.07 °N,43.19 °E,,,
345,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çamlıca I HPP,Dam,KAYSERİ,94.5,84,0,84,40.13 °N,38.05 °E,,,
346,Hydropower Plant,KILIÇ ENERJİ ÜRETİM ANONİM ŞİRKETİ,Kısık HPP,Weir,KAHRAMANMARAŞ,9.6,9.264,9.264,0,-,-,,,
347,Hydropower Plant,ÇANAKÇI HES ELEKTRİK ÜRETİM A.Ş.,Araklı Karadere Prj Erikli-Akocak Rg ve Akocak HPP,Weir,TRABZON,82.46,80.1,0,80.1,E 39° 57′ 5.4″,N 40° 36′ 23.8″,,,
348,Hydropower Plant,METEK HİDRO ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Kiti HPP,Weir,IĞDIR,2.76,2.76,2.76,0,-,-,,,
349,Hydropower Plant,ALTEK ALARKO ELEKTRİK SANTRALLARI TESİS İŞLETME VE TİCARET ANONİM ŞİRKETİ,Karakuz Barajı ve HPP,Dam,ADANA,77.4,76,0,76,1100051.55926,4545262.70347,,, DSİ 
350,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kesikköprü,Dam,ANKARA,76,76,0,76,39.23 °N,33.25 °E,,,
351,Hydropower Plant,KLK ENERJİ ÜRETİM ANONİM ŞİRKETİ,Doğankent HPP,Weir,GİRESUN,74.5,74.5,0,74.5,1414378.15546,4937710.24248,,,HES
352,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kadıncık 1 HPP,Weir,MERSİN,70,70,0,70,1070192.70216,4513847.70118,1070509.89479,4514594.31863,DSİ-HES
353,Hydropower Plant,SANKO RÜZGAR ENERJİSİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Tepekışla Barajı ve HPP,Dam,TOKAT,70.617,69.627,-1.4210854715202E-14,69.627,40.39 °N,36.42 °E,,,
354,Hydropower Plant,AKENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ (ESKİ ÜNVAN AKKUR ENERJİ ÜRETİM TİCARET SANAYİ ANONİM ŞİRKETİ),Feke II HPP,Dam,ADANA,71.4,69.34,0,69.34,1170878.68748,4596792.0764,,,DSİ 
355,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Demirköprü HPP,Weir,MANİSA,69,69,0,69,503747.803769,4700124.83221,,,HES
356,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Suat Uğurlu HPP,Dam,SAMSUN,69,69,0,69,41.04 °N,36.40 °E,,,
357,Hydropower Plant,GETİRİ ENERJİ ÜRETİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Kızılçam Reg. ve HPP,Dam,KASTAMONU,1.37,1.32,1.32,0,,,,,
358,Hydropower Plant,AYEN ENERJİ ANONİM ŞTİ.,Büyükdüz HPP,Weir,GÜMÜŞHANE,70.844,68.862,0,68.862,1431801.06492,4919329.07178,,,HES
