#,Power Plant Type,COMPANY NAME,PROJECT NAME,Type ,City,Installed Capacity (MWm),Installed Capacity (MWe),Capacity Under Construction (Mwe),Service Capacity (Mwe),Longtitude,Latitude,Longtitude_old,Latitude_old,Coordinate Ref.
311,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Obruk HPP,Dam,ÇORUM,212.4,212.4,1.59999999999999,210.8,34.7904397440856,40.767128038067,,,
491,Hydropower Plant,KARAKJRT ENERJİ ÜRETİM ANONİM ŞİRKETİ,Kale Reg. ve HPP,,KARS,17.82,17.1,0,17.1,43.643188,40.763901,,,
560,Hydropower Plant,BND ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Üçgen-2 Reg. ve HPP,,ORDU,10.476,10.318,0,10.318,37.97287,40.763901,,,
364,Hydropower Plant,İDİL İKİ ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Olur HPP,Dam,ERZURUM,65.22,60,0,60,42.0718328769591,40.7630777866201,1683171.91341,4954588.23853,DSİ-HES
389,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Çambaşı Reg. ve HPP,Weir,TRABZON,45,44.1,0,44.1,40.24885136,40.75954634,,,HES
375,Hydropower Plant,KARHES KARADENİZ HİDROELEKTRİK ENERJİDEN ELEKTRİK ÜRETİM SANTRALI LİMİTED ŞİRKETİ,Çırakdamı HPP,Weir,GİRESUN,58.66,49.1,0,49.1,38.434457833769,40.7586368162239,,,HES
505,Hydropower Plant,TRABZON ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Kemerçayır Regülatörü ve HPP,,TRABZON,16.14,15.498,0,15.498,40.3611200667264,40.7513767558603,,,
310,Hydropower Plant,AKKÖY ENERJİ ANONİM ŞİRKETİ,Akköy 2 HPP,Dam,GİRESUN,233.6,229.6,0,229.6,38.96512708,40.73960414,,,HES
329,Hydropower Plant,YAPISAN ELEKTRİK ÜRETİM A.Ş.,Darıca HPP,Weir,ORDU,112.42,110.32,0,110.32,37.8633335655161,40.7156583178128,"1326392,45861 (Darıca I) 1327612,061 (Darıca II)","4922290,96721 (Darıca I) 4924555,945 (Darıca II)",DSİ-HES
374,Hydropower Plant,KARHES KARADENİZ HİDROELEKTRİK ENERJİDEN ELEKTRİK ÜRETİM SANTRALI LİMİTED ŞİRKETİ,Dereli HPP,Weir,GİRESUN,58.68,49.2,0,49.2,38.41904511,40.68383227,,,HES
