"results__layerId","results__layerName","results__displayFieldName","results__value","results__attributes__OBJECTID","results__attributes__HES Adı","results__attributes__Kurum","results__attributes__Aşaması(seç)","results__attributes__Akarsu Adı","results__attributes__SHAPE","results__geometryType","results__geometry__x","results__geometry__y","results__geometry__spatialReference__wkid","results__geometry__spatialReference__latestWkid","exceededTransferLimit"
"25","İşletme Durumuna Göre HES","HES_ADI","Derme HES","342","Derme HES","Kamu","isletmede","Çat Barajı","Point","esriGeometryPoint","38.279308722006711","38.260384397851858","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Koçali","1473","Koçali","Kamu","master plan, öninceleme","Kahta Ç.,Terasa Ç.","Point","esriGeometryPoint","38.328165339904444","37.810577414638828","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Burçak HES","1615","Burçak HES","Kamu","FZB","Null","Point","esriGeometryPoint","38.378744349584636","40.211390175737748","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kilimli HES","275","Kilimli HES","Kamu","master plan, öninceleme","Karabudak","Point","esriGeometryPoint","38.436868165858087","39.547796015880458","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Karaca HES","850","Karaca HES","Kamu","ÖN BAŞVURU","Null","Point","esriGeometryPoint","38.456750780286299","40.644330781222813","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Çağlayan","1496","Çağlayan","Özel(Yap İşlet Devret)","Fizibilite","Birimşe Ç.","Point","esriGeometryPoint","38.526825766310104","38.04950574760143","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Ortagöze HES","198","Ortagöze HES","Kamu","master plan, öninceleme","Binasor D.","Point","esriGeometryPoint","38.628455169161256","39.972059878061152","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Çiftepınar HES","223","Çiftepınar HES","Kamu","master plan, öninceleme","Darboğaz","Point","esriGeometryPoint","38.655625773572147","39.41867183805094","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Gökçeköy HES","291","Gökçeköy HES","Özel(Yap İşlet Devret)","SKHA","Rabat Ç.","Point","esriGeometryPoint","38.76518325354477","39.185804268443086","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Tuğra--3 HES","1535","Tuğra--3 HES","Kamu","insa halinde","Karaovacık","Point","esriGeometryPoint","38.825605540635394","40.753641605952787","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Tuğra-2 HES","1534","Tuğra-2 HES","Kamu","insa halinde","Karaovacık","Point","esriGeometryPoint","38.835498542529244","40.705009639619654","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Çanakçı-2 HES","748","Çanakçı-2 HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.007836713425412","40.935435958473171","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Karlıtepe HES","785","Karlıtepe HES","Kamu","fzb","Null","Point","esriGeometryPoint","39.013553971004512","40.50299367173664","4326","4326",""
