layerId,layerName,displayFieldName,value,attributes__OBJECTID,attributes__HES Adı,attributes__Kurum,attributes__Aşaması(seç),attributes__Akarsu Adı,attributes__SHAPE,geometryType,geometry__x,geometry__y,geometry__spatialReference__wkid,geometry__spatialReference__latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Dağdelen ,1457,Dağdelen,Özel(Yap İşlet Devret),SKHA,Ceyhan N.,Point,esriGeometryPoint,37.007559061585,38.111826292402,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Karapur,1467,Karapur,Özel(Yap İşlet Devret),EPDK,Göksu N.,Point,esriGeometryPoint,37.4682922066459,37.8114879770951,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çatalkaya,1416,Çatalkaya,Özel(Yap İşlet),EPDK,Göksu Ç.,Point,esriGeometryPoint,37.474746185781,37.8604318705953,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kaynarca HES,366,Kaynarca HES,Özel(Yap İşlet Devret),Fizibilite,Ayvalı Tohma Ç.,Point,esriGeometryPoint,37.6344506215833,38.6043517932537,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yeşil HES,149,Yeşil HES,Özel(Yap İşlet),SKHA,Yeşilırmak,Point,esriGeometryPoint,37.6582516874069,40.1823335564022,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Değirmen,1493,Değirmen,Özel(Yap İşlet Devret),Fizibilite,Göksu N.,Point,esriGeometryPoint,37.7600449343595,37.8618899608757,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çorak HES,1404,Çorak HES,Kamu,planlama,Kızılırmak,Point,esriGeometryPoint,37.8172603970667,39.916150837586,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Üçgen-2 HES,638,Üçgen-2 HES,Kamu,FZB,Null,Point,esriGeometryPoint,37.9713427028911,40.7366799829578,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Işık HES,1502,Işık HES,Özel(Yap İşlet Devret),Fizibilite,Göksu Ç.,Point,esriGeometryPoint,38.0653542179869,37.8141854868041,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Murat (1),1477,Murat (1),Özel(Yap İşlet Devret),SKHA,Göksu N.,Point,esriGeometryPoint,38.0954887613826,37.6143068683559,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çalıkobası HES,781,Çalıkobası HES,Kamu,Ön Başvuru,Null,Point,esriGeometryPoint,38.1205567591777,40.6707405245641,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Burç,1468,Burç,Özel(Yap İşlet Devret),Insa Halinde,Göksu N.,Point,esriGeometryPoint,38.1715192146486,37.4635303580946,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kılıçkaya HES,1400,Kılıçkaya HES,Kamu,isletmede,Kelkit Ç.,Point,esriGeometryPoint,38.1853020535374,40.2447235404364,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kılıçkaya HES,1528,Kılıçkaya HES,Kamu,Null,Null,Point,esriGeometryPoint,38.1877268419387,40.2580914217559,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Koruköy,1500,Koruköy,Özel(Yap İşlet),SKHA,Bulam Ç. (İçme Suyu İsale Hattı),Point,esriGeometryPoint,38.2647830596905,37.8166747299578,4326,4326
