#,Power Plant Type,COMPANY NAME,PROJECT NAME,Type ,City,Installed Capacity (MWm),Installed Capacity (MWe),Capacity Under Construction (Mwe),Service Capacity (Mwe),Longtitude,Latitude,Longtitude_!,Latitude_!,Coordinate Ref.
359,Hydropower Plant,KURTSUYU ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Daran HPP,Weir,KARAMAN,68.74,67.16,0,67.16,32.618408,36.619937,,,
360,Hydropower Plant,SUATA ELEKTRİK ÜRETİM LİMİTED ŞİRKETİ,Burçak Reg. Ve HPP,Weir,GİRESUN,72.45,66.29,0,66.29,38.372498,40.258569,,,
361,Hydropower Plant,İDİL İKİ ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Kozbükü HPP,Weir,ORDU,67.761,62.34,0,62.34,37.8247844,40.83402109,,,DSİ
363,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Adıgüzel HPP,Dam,DENİZLİ,62,62,0,62,29.16149207,38.13150103,,,
364,Hydropower Plant,İDİL İKİ ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Olur HPP,Dam,ERZURUM,65.22,60,0,60,42.07183288,40.76307779,1683171.913,4954588.239,DSİ-HES
365,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Seyhan 1 HPP,Dam,ADANA,60,60,0,60,35.34464996,37.03472267,,,
366,Hydropower Plant,SEYRANTEPE HES ELEKTRİK ÜRETİMİ ANONİM ŞİRKETİ,Seyrantepe HPP,Dam,ELAZIĞ,58.78,56.84,0,56.84,39.89172187,38.9888747,,,DSİ
367,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Derbent HPP,Dam,SAMSUN,56.4,56.4,0,56.4,35.83909303,41.46331135,,,
368,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kadıncık 2 HPP,Weir,MERSİN,56,56,0,56,34.83987693,37.0322381,1074692.363,4508930.558,DSİ - HES
369,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kılavuzlu HPP,Dam,KAHRAMANMARAŞ,56.4,54,0,54,36.80119639,37.62393482,,,
371,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kapulukaya HPP,Dam,KIRIKKALE,54,54,0,54,33.48650672,39.73054371,,,
372,Hydropower Plant,BATIÇİM ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kovada II HPP,Dam,ISPARTA,51.2,51.2,0,51.2,30.86092602,37.63993624,718770.2628,4577115.902,DSİ - HES
373,Hydropower Plant,BEREKET ENERJİ ÜRETİM ANONİM ŞİRKETİ,Toros HPP,Weir,ADANA,52.05,49.99,0,49.99,35.00018072,37.28119476,,,DSİ
374,Hydropower Plant,KARHES KARADENİZ HİDROELEKTRİK ENERJİDEN ELEKTRİK ÜRETİM SANTRALI LİMİTED ŞİRKETİ,Dereli HPP,Weir,GİRESUN,58.68,49.2,0,49.2,38.41904511,40.68383227,,,HES
375,Hydropower Plant,KARHES KARADENİZ HİDROELEKTRİK ENERJİDEN ELEKTRİK ÜRETİM SANTRALI LİMİTED ŞİRKETİ,Çırakdamı HPP,Weir,GİRESUN,58.66,49.1,0,49.1,38.43445783,40.75863682,,,HES
376,Hydropower Plant,AKDENİZLİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Bağıştaş II HPP,Weir,ERZİNCAN,49.8,48.6,0,48.6,38.41007926,39.42803983,,,DSİ
377,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Dağpazarı Regülatörleri ve Birkapılı HPP,Weir,MERSİN,48.5,48.5,0,48.5,33.44317376,36.72060979,,,Google Maps
378,Hydropower Plant,ASSAN ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Manavgat Barajı ve HPP,Dam,ANTALYA,48,48,0,48,31.65836652,37.0835428,,,
379,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kemer HPP,Dam,AYDIN,48,48,0,48,28.15775905,37.51256667,,,
381,Hydropower Plant,BEYOBASI ENERJİ ÜRETİMİ ANONİM ŞİRKETİ,Otluca HPP,Weir,MERSİN,48.768,47.7,0,47.7,32.82218309,36.239212,,,DSİ
382,Hydropower Plant,SENERJİ ENERJİ ÜRETİM ANONİM ŞİRKETİ,Bayramhacılı HPP,Dam,KAYSERİ,48.5,47,0,47,34.96103806,38.76532973,,,
383,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Karacaören 2 HPP,Dam,BURDUR,46.4,46.4,0,46.4,30.83168957,37.36978387,,,
384,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çine Adnan Menderes HPP,Dam,AYDIN,47.2,46.26,0,46.26,28.11026046,37.50867757,,,
386,Hydropower Plant,BAREN ENERJİ ÜRETİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Kirazlık Reg. ve HPP,Weir,SİİRT,47.91,46.111,0,46.111,37.92305556,42.06055556,,,Google Maps
388,Hydropower Plant,BME BİRLEŞİK MÜTEAHHİTLER ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Erenler HPP,Weir,ARTVİN,51.13,45,0,45,29.44069719,38.07146738,,,DSİ
389,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Çambaşı Reg. ve HPP,Weir,TRABZON,45,44.1,0,44.1,40.24885136,40.75954634,,,HES
391,Hydropower Plant,BOYDAK ENERJİ ÜRETİM VE TİCARET A.Ş.,Umut Reg. Ve HPP,Weir,ORDU,44.144,42.25,0,42.25,37.066686 ,40.701361 ,,,
392,Hydropower Plant,MELET ENERJİ ELEKTRİK ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Ordu HPP,Weir,ORDU,43.04,42,0,42,37.93386648,40.90649764,1331619.331,4947467.072,DSİ-HES
393,Hydropower Plant,BEREKET ENERJİ ÜRETİM ANONİM ŞİRKETİ,Koyulhisar HPP,Weir,SİVAS,43.5,42,0,42,37.78251878,40.29048181,,,DSİ
394,Hydropower Plant,TEKTUĞ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Andırın HPP,Weir,KAHRAMANMARAŞ,42,40.5,0,40.5,36.23909,37.539133,,,
395,Hydropower Plant,SANKO ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Yokuşlu Kalkandere HPP,Weir,RİZE,41.19,40.24,0,40.24,40.44471963,40.89822443,,,HES
396,Hydropower Plant,NİKSAR ENERJİ ÜRETİM LİMİTED ŞİRKETİ,Niksar HPP,Weir,TOKAT,41.56,40.16,0,40.16,36.99050452,40.48466464,1251090.433,4898854.257,DSİ-HES
397,Hydropower Plant,DEĞİRMENÜSTÜ ENERJİ ÜRETİM TİCARET VE SANAYİ ANONİM ŞİRKETİ,Değirmenüstü HPP,Weir,KAHRAMANMARAŞ,40.821,40.005,0,40.005,36.4450762,37.61843415,,,Google Maps
398,Hydropower Plant,AYEN ENERJİ ANONİM ŞTİ.,Paşalar HPP,Weir,RİZE,41.5,40,0,40,41.32073342,41.21122987,,,HES
399,Hydropower Plant,DİLER ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Dim HPP,Dam,ANTALYA,39.03,38.25,0,38.25,32.13293872,36.55730708,,,
400,Hydropower Plant,KAREN KAHRAMAN MARAŞ ELEKTRİK ÜRETİM A.Ş.,Balkusan HPP,Dam,KARAMAN,39.9,38,0,38,32.96005,36.700078,,,
401,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Yenice HPP,Dam,ANKARA,37.89,37.89,0,37.89,30.85239886,40.06280112,,,
402,Hydropower Plant,BEREKET ENERJİ ÜRETİM ANONİM ŞİRKETİ,Dalaman I-II-III-IV-V HPP,Weir,MUĞLA,40.275,37.5,0,37.5,28.88336279,36.88543766,,,HES
403,Hydropower Plant,BOYDAK ENERJİ ÜRETİM VE TİCARET A.Ş.,Tuna HPP,Dam,TOKAT,40.64,37.19,0,37.19,37.388945,40.377452,,,Google Maps
404,Hydropower Plant,AK-ÖZLÜCE ELEKTRİK ÜRETİM TİCARET ANONİM ŞİRKETİ,Özlüce (Çoruh) HPP,Weir,ERZURUM,36.92,36.38,0,36.38,40.08716235,39.12687383,1586752.639,4915392.945,DSİ-HES
406,Hydropower Plant,SANKO RÜZGAR ENERJİSİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Koçlu HPP,Weir,GİRESUN,36.7,35.6,0,35.6,38.65295701,40.79459302,,,HES
407,Hydropower Plant,PURE ENERJİ ÜRETİMİ ANONİM ŞİRKETİ,Sefaköy HPP,Dam,KARS,35,33.11,0,33.11,43.36244736,40.14380907,,,
408,Hydropower Plant,AKSU MADENCİLİK SANAYİ VE ELEKTRİK ÜRETİM TİCARET ANONİM ŞİRKETİ,Tefen HPP,Weir,KARABÜK,36.75,33,0,33,32.14408157,41.29387388,845375.534,4981209.302,DSİ -HES
412,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çamlıgöze HPP,Dam,SİVAS,32,32,0,32,38.06776998,40.22849738,,,
413,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Karacaören HPP,Dam,BURDUR,32,32,0,32,30.83168957,37.36978387,,,
414,Hydropower Plant,EBD ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Narinkale HPP,Weir,KARS,32,30.4,0,30.4,43.20674023,40.16728361,,,DSİ
415,Hydropower Plant,TÜM ENERJİ VE TİCARET ANONİM ŞİRKETİ,Pınar HPP,Weir,ADIYAMAN,31.5,30.09,0,30.09,42.63769431,37.96701685,,,DSİ
416,Hydropower Plant,CEYKAR ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Bağışlı HPP,Weir,HAKKARİ,30.9,29.571,0,29.571,44.05550553,37.71189497,,,DSİ
418,Hydropower Plant,ADACAMİ ENERJİ EL. ÜR. SANAYİ VE TİCARET ANONİM ŞİRKETİ,Adacami HPP,Weir,RİZE,29.902,29.304,0,29.304,40.6113562,40.97177452,,,HES
420,Hydropower Plant,EBD ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Serap HPP,Weir,KARS,30,28.96,0,28.96,43.08739095,40.16399786,,,DSİ
421,Hydropower Plant,TEKTUĞ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kalealtı HPP,Weir,OSMANİYE,29.84,28.814,0,28.814,36.15030848,37.5488682,,,DSİ
422,Hydropower Plant,AKÇAY HES ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Akçay HPP,Weir,AYDIN,31.98,28.78,0,28.78,28.30943104,37.78769911,,,Google Maps
423,Hydropower Plant,"LİMAK YATIRIM, ENERJİ ÜRETİM DAĞITIM İŞLETME HİZMETLERİ VE İNŞAAT ANONİM ŞİRKETİ",Uzunçayır Barajı ve HPP,Dam,TUNCELİ,84,82,82,0,39.53857981,38.97997616,,,
424,Hydropower Plant,ENTEK ENERJİ TEKNOLOJİLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Cindere HPP,Dam,DENİZLİ,29.31,28.723,0,28.723,29.03272816,38.1125671,,,
425,Hydropower Plant,MEM ENERJİ ELEKTRİK ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Gökkaya Barajı ve HPP,Dam,Adana,29.46,28.54,0,28.54,37.888116,35.998077,,,
426,Hydropower Plant,YENİ DORUK ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Doruk Reg. ve HPP,Weir,GİRESUN,28.894,28.278,0,28.278,38.30664313,40.56638326,,,Google Maps
429,Hydropower Plant,ÇAMLICA ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çamlıca-III HPP,Weir,KAYSERİ,28.479,27.618,0,27.618,35.5050188,37.8991925,1133363.422,4601729.461,DSİ-HES
432,Hydropower Plant,YEDİGÖL HİDROELEKTRİK ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Aksu (Yankol) HPP,Weir,ERZURUM,27.88,27.272,0,27.272,41.070328,40.635841,,,
433,Hydropower Plant,TEKTUĞ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Sırımtaş HPP,Dam,ADIYAMAN,27.934,27.234,0,27.234,38.54605813,37.99679502,,,
434,Hydropower Plant,TEKTUĞ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Höçgören HPP,Weir,OSMANİYE,28.068,27.219,0,27.219,36.166649,38.58363,,,
435,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Almus HPP,Dam,TOKAT,27,27,0,27,36.89991129,40.40684633,,,
437,Hydropower Plant,2M ENERJİ ÜRETİM ANONİM ŞİRKETİ,Sırakonaklar HPP,Weir,ERZURUM,20.13,18,18,0,41.22681293,40.67037697,1610261.387,4938123.257,DSİ-HES
438,Hydropower Plant,ELİTE ELEKTRİK ÜRETİMİ VE ELEKTRONİK MAKİNE SANAYİ TİCARET LİMİTED ŞİRKETİ,Papart Regülatörü ve HPP,Weir,ARTVİN,27.85,26.6,0,26.6,42.28382597,41.39458508,,,DSİ
439,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kepez 1 HPP,Weir,ANTALYA,26.4,26.4,0,26.4,30.61946863,36.94483348,,,HES
440,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Tortum HPP,Weir,ERZURUM,26.2,26.2,0,26.2,41.50658814,40.48870061,"1647937,65853 (Tortum I) 1648716,093 (Tortum II)","4940225,03289 (Tortum I) 4945284,,863 (Tortum II)", DSİ-HES 
441,Hydropower Plant,EGENDA EGE ENERJİ ÜRETİM A.Ş.,Eğlence II HPP,Weir,ADANA,27.35,26,0,26,35.1955954,37.37606621,,,Google Maps
442,Hydropower Plant,REDAŞ ELEKTRİK ÜRETİM DAĞITIM PAZARLAMA SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çaykara Reg. ve HPP,Weir,TRABZON,27,25.92,0,25.92,40.27093302,40.81595366,,,HES
443,Hydropower Plant,ÇAMLICA ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Saraçbendi HPP,Weir,SİVAS,26.28,25.48,0,25.48,36.20595055,39.37244007,,,
444,Hydropower Plant,LASKAR ENERJİ ÜRETİM PAZARLAMA ANONİM ŞİRKETİ,İncirli Reg. Ve HPP,Weir,RİZE,28.53,25.2,0,25.2,40.954205,40.400763,,,
445,Hydropower Plant,ÖVÜNÇ ENERJİ VE ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çermikler HPP,Dam,SİVAS,25.78,25,0,25,36.285882,39.40159064,,,DSİ
446,Hydropower Plant,ÖZGÜR ELEKTRİK ÜRETİM A.Ş.,"Azmak I Regülatörü ve HPP, Azmak II Regülatörü ve HPP, Kirpilik Regülatörü ve HPP",Weir,MERSİN,25.414,24.408,0,24.408,33.395441,36.597889,,,
447,Hydropower Plant,BOYDAK ENERJİ ÜRETİM VE TİCARET A.Ş.,Yaprak HPP,Dam,AMASYA,25.174,24.28,0,24.28,32.41325215,36.65702103,,,
448,Hydropower Plant,UHUD ENERJİ ÜRETİM TİCARET VE SANAYİ ANONİM ŞİRKETİ,Gökgedik Regülatörü ve HPP,Weir,KAHRAMANMARAŞ,24.882,24.266,0,24.266,36.585846,37.633266,,,
449,Hydropower Plant,ETİ BAKIR ANONİM ŞİRKETİ,Murgul HPP,Weir,ARTVİN,24.7,24.2,0,24.2,41.56087138,41.27404333,1634315.04,5009894.997,DSİ-HES
450,Hydropower Plant,EGENDA EGE ENERJİ ÜRETİM A.Ş.,Manavgat II HPP,Dam,ANTALYA,26.78,24.1,0,24.1,31.69054986,37.10960162,,,
