results/layerId,results/layerName,results/displayFieldName,results/value,results/attributes/OBJECTID,results/attributes/HES Adı,results/attributes/Kurum,results/attributes/Aşaması(seç),results/attributes/Akarsu Adı,results/attributes/SHAPE,results/geometryType,results/geometry/x,results/geometry/y,results/geometry/spatialReference/wkid,results/geometry/spatialReference/latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Alaköprü HES,94,Alaköprü HES,Kamu,planlama,Anamur Ç.,Point,esriGeometryPoint,32.89176612719255,36.18345724779011,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Bucakkışla HES,547,Bucakkışla HES,Özel(Yap İşlet),SKHA,Göksu,Point,esriGeometryPoint,33.08963910303539,36.91470415353218,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ilıca HES,902,Ilıca HES,Özel(Yap İşlet),Fizibilite,Devrekani Ç.,Point,esriGeometryPoint,33.15957209957423,41.657462150316086,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Saran HES,39,Saran HES,Özel(Yap İşlet),SKHA,Göksu N.,Point,esriGeometryPoint,33.36653842425849,36.63750455434783,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Sarıbucak HES,38,Sarıbucak HES,Özel(Yap İşlet),Fizibilite,Kurtsuyu,Point,esriGeometryPoint,33.57141098676072,36.54753443408819,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Hamzalı,579,Hamzalı,Kamu,insa halinde,Kızılırmak N.,Point,esriGeometryPoint,33.65000163008916,40.291077249580695,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Dinç HES,79,Dinç HES,Kamu,insa halinde,Sason Dere,Point,esriGeometryPoint,33.65051832733381,36.640263455947164,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Silifke I HES,108,Silifke I HES,Kamu,isletmede,Sulama Kanalı,Point,esriGeometryPoint,33.94292503345804,36.39055104989007,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ebru -3 HES,1487,Ebru -3 HES,Özel(Yap İşlet),Fizibilite,İlişi Ve Ezine Çayları,Point,esriGeometryPoint,34.030242579078816,41.94023179741762,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Tımarlı,570,Tımarlı,Kamu,insa halinde,Kızılırmak N.,Point,esriGeometryPoint,34.086416519033264,40.47641919776172,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kemal -2 HES,1714,Kemal -2 HES,Özel(Yap İşlet),Fizibilite,Çatalzeytin Ç.,Point,esriGeometryPoint,34.222480497476745,41.93703484931927,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kargı,572,Kargı,Kamu,planlama,Kızılırmak N.,Point,esriGeometryPoint,34.65558622070393,41.00606897318658,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Remsu HES,41,Remsu HES,Özel(Yap İşlet),Fizibilite,Sulama Kanalı,Point,esriGeometryPoint,34.8895990826224,36.96014009552032,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çatalan HES,75,Çatalan HES,Kamu,isletmede,Seyhan N.,Point,esriGeometryPoint,35.27820373304851,37.195408319568976,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çamlıca--3 HES,1009,Çamlıca--3 HES,Özel(Yap İşlet),Lisans,Zamantı,Point,esriGeometryPoint,35.49600327947984,37.85892082739884,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kavşakbendi HES,61,Kavşakbendi HES,Özel(Yap İşlet),SKHA,Seyhan N.,Point,esriGeometryPoint,35.52247037267274,37.54165533375402,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Duru HES,91,Duru HES,Özel(Yap İşlet),Fizibilite,Zamantı Ç.,Point,esriGeometryPoint,35.57676753694693,37.6296483545642,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Göktaş 1 HES,62,Göktaş 1 HES,Kamu,proje,Arpaboynu D.,Point,esriGeometryPoint,35.58623756839856,37.66515345033439,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Bünyan HES,1021,Bünyan HES,Özel(Yap İşlet),Lisans,Bünyan Kaynağı,Point,esriGeometryPoint,35.831065377662696,38.853503710011125,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Derbent HES,415,Derbent HES,Kamu,isletmede,Kızılırmak,Point,esriGeometryPoint,35.83909302754266,41.46331135119665,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Büyük Karaçay HES,102,Büyük Karaçay HES,Kamu,proje,Karaçay,Point,esriGeometryPoint,35.98697449865831,36.188252938398236,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Defne HES,405,Defne HES,Kamu,isletmede,Harbiye Kaynakları,Point,esriGeometryPoint,36.12111725430121,36.13265252254007,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Meha HES,381,Meha HES,Özel(Yap İşlet),Ön rapor,Ceyhan N.,Point,esriGeometryPoint,36.1507898642127,37.16900452932154,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ayşenur HES,125,Ayşenur HES,Özel(Yap İşlet),Ön rapor,Derebani D.,Point,esriGeometryPoint,36.22259285689144,36.67106332443084,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Göztaşı HES,408,Göztaşı HES,Özel(Yap İşlet),Ön rapor,Keşiş Dere,Point,esriGeometryPoint,36.2374639915812,37.524693466029106,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Damlasu,1491,Damlasu,Özel(Yap İşlet Devret),Fizibilite,Keşiş Ç.,Point,esriGeometryPoint,36.25310376500185,37.42628066006181,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Bahçelik HES,999,Bahçelik HES,Özel(Yap İşlet),Lisans,Zamantı,Point,esriGeometryPoint,36.288742119387734,38.67468049117312,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Teytur,1435,Teytur,Özel(Yap İşlet Devret),Fizibilite,Karasu Ç,Point,esriGeometryPoint,36.33951630710652,37.620012664522456,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Güneşli,1461,Güneşli,Özel(Yap İşlet Devret),Isletmede,Andırın Suyu,Point,esriGeometryPoint,36.36600025188373,37.51801876716716,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Erbaa HES,464,Erbaa HES,Özel(Yap İşlet),SKHA,Kelkit,Point,esriGeometryPoint,36.514389400714464,40.76931935019968,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çataloluk,1454,Çataloluk,Özel(Yap İşlet Devret),Insa Halinde,Tekir D.,Point,esriGeometryPoint,36.65969960445107,37.82143057216742,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Avcılar,1456,Avcılar,Özel(Yap İşlet Devret),Insa Halinde,Çermengeç Dere,Point,esriGeometryPoint,36.792168547186364,37.84149785379365,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kartalkaya Brj  ,1460,Kartalkaya Brj,Özel(Yap İşlet Devret),Insa Halinde,Aksu Ç.,Point,esriGeometryPoint,37.23565424624536,37.46956369842182,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Bozyazı HES,109,Bozyazı HES,Kamu,isletmede,Bakır Ç.,Point,esriGeometryPoint,32.98166575913065,36.123658200762925,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Bozyazı HES,20,Bozyazı HES,Özel(Yap İşlet),SKHA,Bozyazı Ç.,Point,esriGeometryPoint,33.01374467002956,36.19269905366692,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Tor HES,900,Tor HES,Özel(Yap İşlet),Fizibilite,Devrekani Ç.,Point,esriGeometryPoint,33.08270909299559,41.713940159037044,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kutsal I HES,931,Kutsal I HES,Özel(Yap İşlet),Ön rapor,Filyos Ir.,Point,esriGeometryPoint,33.13355991863437,41.169162614026575,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Turkmenoglu HES,1708,Turkmenoglu HES,Özel(Yap İşlet),Fizibilite,Filyos Ir.,Point,esriGeometryPoint,33.18972848384515,41.18003277298968,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Zala HES,1715,Zala HES,Özel(Yap İşlet),Ön rapor,Filyos Ir.,Point,esriGeometryPoint,33.24354703667758,41.23371558322266,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Gezende HES,36,Gezende HES,Kamu,isletmede,Göksu N.,Point,esriGeometryPoint,33.27378242386704,36.56047048135441,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Fakas -2 HES,922,Fakas -2 HES,Özel(Yap İşlet),Ön rapor,Fakas Ç.,Point,esriGeometryPoint,33.32585328955458,41.982392032084654,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ege I HES,882,Ege I HES,Özel(Yap İşlet),Fizibilite,Valay Ç.,Point,esriGeometryPoint,33.39247507415919,41.8261786668933,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Köprükale,632,Köprükale,Kamu,4,Kızılırmak N.,Point,esriGeometryPoint,33.42417225442904,39.9283322312997,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kapulukaya Brj Ve HES,577,Kapulukaya Brj Ve HES,Kamu,isletmede,Kızılırmak N.,Point,esriGeometryPoint,33.48650671773313,39.730543714161456,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çeşmebaşı,608,Çeşmebaşı,Kamu,5,Kızılırmak N.,Point,esriGeometryPoint,33.53583345729831,40.128082823824926,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Degirmenönü HES,893,Degirmenönü HES,Özel(Yap İşlet),Fizibilite,Zarbana Ç.,Point,esriGeometryPoint,33.70700212200586,41.84301139297335,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Zerve -2 HES,1717,Zerve -2 HES,Özel(Yap İşlet),Ön rapor,Zerve Ç.,Point,esriGeometryPoint,33.88677333339098,41.9533120078921,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ebru I  HES,1485,Ebru I  HES,Özel(Yap İşlet),Fizibilite,İlişi Ve Ezine Çayları,Point,esriGeometryPoint,34.040039820804466,41.86350441478475,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Akkaya HES,886,Akkaya HES,Özel(Yap İşlet),Fizibilite,Gökırmak,Point,esriGeometryPoint,34.060433597188805,41.32481831598148,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Lamas-4 HES,44,Lamas-4 HES,Özel(Yap İşlet Devret),Insa Halinde,Lamas Ç.,Point,esriGeometryPoint,34.19689554519706,36.59796455067521,4326,4326
