"layerId","layerName","displayFieldName","value","attributes__OBJECTID","attributes__HES Adı","attributes__Kurum","attributes__Aşaması(seç)","attributes__Akarsu Adı","attributes__SHAPE","geometryType","geometry__x","geometry__y","geometry__spatialReference__wkid","geometry__spatialReference__latestWkid"
"25","İşletme Durumuna Göre HES","HES_ADI","Tirebolu HES","1577","Tirebolu HES","Kamu","planlama","Harşit","Point","esriGeometryPoint","38.848737639159545","40.9937711422685","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Aslancık HES","1578","Aslancık HES","Kamu","FZB","Null","Point","esriGeometryPoint","38.852462404347769","40.877316027761182","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","A.Mah. HES","207","A.Mah. HES","Kamu","planlama","Kömür Ç.","Point","esriGeometryPoint","39.024825249040695","39.649880831135519","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Melik HES","242","Melik HES","Kamu","master plan, öninceleme","Kömür","Point","esriGeometryPoint","39.0330431770929","39.621100189010733","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kemah Barajı HES","440","Kemah Barajı HES","Kamu","planlama","Fırat","Point","esriGeometryPoint","39.076086706550008","39.604473730018704","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Telli HES","689","Telli HES","Kamu","İnşaat aşaması","Null","Point","esriGeometryPoint","39.082796174419144","40.854638799258289","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Berat","164","Berat","Özel(Yap İşlet Devret)","Fizibilite","Yenibardak Ç.","Point","esriGeometryPoint","39.11347404439676","38.137719501504172","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kürtün HES","1584","Kürtün HES","Kamu","Null","Null","Point","esriGeometryPoint","39.140653145043565","40.672773012335227","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Nata HES","666","Nata HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.157506451431203","40.462681729739764","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Cardaklı HES","936","Cardaklı HES","Özel(Yap İşlet)","On_Basvuru","Null","Point","esriGeometryPoint","39.190271420304214","38.307422954686515","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","İnköy HES","329","İnköy HES","Özel(Yap İşlet Devret)","Fizibilite","Hozat D.","Point","esriGeometryPoint","39.278404095468943","38.997421298683008","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Varlık HES","1552","Varlık HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.287142692611773","40.91962166704289","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çardaklı  HES","215","Çardaklı  HES","Kamu","master plan, öninceleme","Çardaklı","Point","esriGeometryPoint","39.297502475076485","39.85276421767378","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çanakçı HES","687","Çanakçı HES","Kamu","EIE","Null","Point","esriGeometryPoint","39.350130721499973","40.984532167667467","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Saral V HES","796","Saral V HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","39.500202867876396","40.9560021131159","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Dinar HES","286","Dinar HES","Özel(Yap İşlet Devret)","Lisans","Aksu N.","Point","esriGeometryPoint","39.505332499015616","39.049783877747025","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Bozkaya HES","368","Bozkaya HES","Özel(Yap İşlet Devret)","Fizibilite","Munzur Suyu","Point","esriGeometryPoint","39.539562268218546","39.106962522378907","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Cevher-2 HES","730","Cevher-2 HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.587609160994468","40.671144137443463","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Arısu HES","1538","Arısu HES","Özel(Yap İşlet Devret)","Insa Halinde","Maden D.","Point","esriGeometryPoint","39.590094876459275","40.732220827931044","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Cevher-I HES","731","Cevher-I HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.597114748776242","40.693225857676545","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Cinali HES","757","Cinali HES","Kamu","Başvuru","Null","Point","esriGeometryPoint","39.681222700156709","40.813470656136118","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Biga HES","828","Biga HES","Kamu","Ön Rapor","Null","Point","esriGeometryPoint","39.688182357252799","40.610745885211067","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Girlevik-I","431","Girlevik-I","Kamu","isletmede","Akpınar D.","Point","esriGeometryPoint","39.724142591444995","39.58700278964767","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kaynarca HES","260","Kaynarca HES","Kamu","master plan, öninceleme","Fırat","Point","esriGeometryPoint","39.727269694718785","39.647089183787742","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Yakut 1 HES","191","Yakut 1 HES","Kamu","master plan, öninceleme","Fırat N.","Point","esriGeometryPoint","39.751239569623053","39.61033447618108","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kuşluk HES","691","Kuşluk HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.911373708573798","40.608584655955546","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kuşluk HES","1526","Kuşluk HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.911373708573798","40.608584655955546","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Pazarcık HES","836","Pazarcık HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.965376271449252","40.592520099782021","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Oylum-2 HES","1542","Oylum-2 HES","Kamu","FZB","Null","Point","esriGeometryPoint","40.063486498503842","40.750449813870453","4326","4326"
